Vada pav,"Burger. Gram flour, potatoes, chilli, garlic, ginger.",Vegetarian,50
Dahi vada,"Fried lentil balls in a yogurt sauce. Lentils, yogurt.",Vegetarian,50
Puri,Bread. Wheat flour.,Vegetarian,50
Bombil fry,Main Course. Bombay Duck (Fish).,Non-Vegetarian,150
Kombdi vade,Chicken Curry with Bread. Chicken.,Non-Vegetarian,50
Vindaloo,"Goan pork vindaloo. Pork, goan red chilli paste.",Non-Vegetarian,150
Veg Kolhapuri,Vegetarian dish. Mixed vegetables.,Vegetarian,50
Dhokla,Lentil snack. Gram.,Vegetarian,50
Pohe,Vegetarian Snack. Flattened rice.,Vegetarian,50
Sabudana Khichadi,Vegetarian Snack. Sago.,Vegetarian,50
Koshimbir,Salad. Salad/side-dish.,Vegetarian,50
Upmaa,Vegetarian snack. Semolina.,Vegetarian,50
Thalipeeth,Savoury pancake. Mixed grain flour.,Vegetarian,40
Pooran-poli,"Sweet stuffed bread. Wheat flour, gram.",Vegetarian,50
Modak,"Sweet coconut dumplings. Rice flour, coconut.",Vegetarian,60
Chakli,Savoury snack. Mixed grain flour.,Vegetarian,50
Shankarpali,"Sweet or savoury snack. Plain flour, sugar.",Vegetarian,50
Amti,Lentil curry. Split lentil.,Vegetarian,50
Chivda,"Mixture. Flattened rice, groundnut, chana, masala.",Vegetarian,50
Chorafali,"Spicy. Grinding of charudala, masala, sprinkle with red chilly powder on top.",Vegetarian,50
Locha,"Spicy. Grinding of chanadal, masala,.",Vegetarian,50
Pav Bhaji,"Veg main dish. Mix curry of onion, capsicum, peas, cauliflower potatoes.",Vegetarian,50
Khakhra,"Snack. Wheat flour, methi.",Vegetarian,50
Jalebi,"Sweet maida & grained semolina flour, baking powder, curd, sugar.",Vegetarian,50
Undhiyu,"Mix veggi. Plantain, brinjal, carrot, green chillies, potatoes, fresh coconut and other vegetable.",Vegetarian,50
Muthiya,"Snack. Whole wheat flour, methi leaves, besan/chickpeas flour and coriander leaves/cilantro.",Vegetarian,50
Dum aaloo,"Veg. Main dish. Potatoes deep fry, yogurt, coriander powder, ginger powder.",Vegetarian,50
Khakhra,"Snack. Wheat flour, methi.",Vegetarian,50
Bhakri,"Bread. Whole wheat flour, thicker than rotli, crispy.",Vegetarian,50
Bajri no rotlo,Bread. Thick millet flour flatbread usually grilled over coals.,Vegetarian,50
Juvar no rotlo,Bread. Thick sorghum flatbread.,Vegetarian,20
Sev Tameta,Veggie. Potatoes and sev.,Vegetarian,50
Khandvi,Snack. Besan.,Vegetarian,20
Patra,"Snack. Taro leaves, coconut, seeds, dal.",Vegetarian,30
Sev Khamani,"Snack. Chana dal, green chillies, ginger, lemon juice and olive oil.",Vegetarian,50
Lilva Kachori,Snack. Lilva and whole wheat flour.,Vegetarian,50
Chaat,Snack,Vegetarian,20
Methi na Gota,Snack. Fried fenugreek dumplings.,Vegetarian,20
Soonvali,Snack,Vegetarian,20
Panipuri,Snack,Vegetarian,20
Handwo (steamed dish),Snack,Vegetarian,20
Rasya Muthia,Snack. A spicy yogurt dumpling soup.,Vegetarian,20
Daal Dhokli,Snack,Vegetarian,20
Cholafali,Snack,Vegetarian,20
Sutarfeni,Sweet,Vegetarian,20
Kansar,Sweet,Vegetarian,20
Halvasan,Sweet,Vegetarian,20
Malpua,Sweet,Vegetarian,20
Keri no ras,Sweet,Vegetarian,20
Basundi,Sweet,Vegetarian,20
Ghari (sweet from Surat),Sweet,Vegetarian,20
Ghebar or Ghevar,Sweet from Surat,Vegetarian,20
Sohan papdi,Sweet,Vegetarian,20
Magas (or Magaj)]],Sweet,Vegetarian,20
Sukhdi,Sweet,Vegetarian,20
Mohanthal www.kandoisweets.com,Kandoi Bhogilal Mulchand (Sweeet),Vegetarian,50
Gud papdi (Gol papdi),Sweet,Vegetarian,50
Penda,Sweet,Vegetarian,50
Barfi,Sweet,Vegetarian,50
Laddu,Sweet,Vegetarian,50
Shiro,"Sweet roasted semolina/flour/dal with milk, butter, sugar, nuts and raisins.",Vegetarian,50
Ghooghra,Sweet,Vegetarian,50
Shrikhand,"Sweet A thick yogurt-based sweet dessert garnished with ground nuts, cardamom, and saffron.",Vegetarian,50
Laapsi,Sweet coarse ground/ broken wheat cooked with butter and sugar.,Vegetarian,50
Doodhpak,Sweet A milk-based sweet dessert with nuts.,Vegetarian,50
Shakarpara,Snack. A deep fried snack made out of sugar and wheat.,Vegetarian,50
Copra paak,"Sweet coconut halwa/barfi: Halwa is soft, barfi more like cake.",Vegetarian,50
Gajar Halwo - Carrot Halwa,Sweet,Vegetarian,50
Dudhi no Halwo - Bottle Gourd Halwa,Sweet,Vegetarian,50
Gur,Sweet unrefined brown sugar sold in blocks[3].,Vegetarian,50
Gatta curry,Curry. Steamed dumplings made from chickpea flour cooked in a spiced yoghurt sauce.,Vegetarian,50
Puri Bhaji,Breakfast or Snack,Vegetarian,50
Gulab Jamun,Snack,Vegetarian,50
