Dosa	Pancake/Hopper. Ground rice  Urad dal.	Vegetarian
Idli	Steamed cake of fermented rice and pulse flour. Rice  Urad dal.	Vegetarian
Wheat Upma	A Breakfast dish and Snack.Upma prepared from Wheat Dhalia Rava.	Vegetarian
Obbattu(holige Pooran+AC0-poli)	A stuffed (Moong gram dal and jaggery or coconut poornam) paratha. Dish native to South and West India in the states of (Karnataka  Andhra Pradesh and Maharashtra.)	Vegetarian
Bonda	Snack. Potatoes  gram flour.	Vegetarian
Bajji	Vegetable Fritters.	Vegetarian
Pesarattu	Dosa (Pancake or Crepe) of Andhra Pradesh made from Moong Dal (lentils)  grains and spice batter.	Vegetarian
Koshambri	A Cucumber salad dish popular in Karnataka. Prepared during festivals.	Vegetarian
Vada	Savory Donut. Urad dal.	Vegetarian
Goli bajje	Snack. Gram flour.	Vegetarian
Puttu	Ground Rice.	Vegetarian
Uttapam	Rice Pancake/Hopper with a topping of onions/tomatoes/coconut.	Vegetarian
Kuzhakkattai	Dumplings. Rice flour  jaggery  coconut.	Vegetarian
Payasam	Rice Dessert. Rice  milk.	Vegetarian
Kanji	Porridge. Rice.	Vegetarian
Kuzhambu	Thick Soup with coconut. Coconut  vegetables.	Vegetarian
Appam	Pancake	Vegetarian
Idiappam	Steamed rice noodles/vermicelli. Ground rice.	Vegetarian
Chicken 65	Popular deep fried chicken preparation. Chicken  onion  ginger.	Non+AC0-Vegetarian
Pongal	Pulao. Rice.	Vegetarian
Parotta	Layered kerala parotta made with maida and dalda.	Vegetarian
Avial	Cocunut paste  curd mixed with vegetables and some spices.	Vegetarian
Sambar	Lentil soup with vegetables and masala mixed with rice and taken.	Vegetarian
Yelumincham sadam	Lemon rice. Rice	Vegetarian
Thengai sadam	Cocunut rice.	Vegetarian
Puli sadam	Tamarind rice.	Vegetarian
Currivepillai sadam	Curry leaves rice.	Vegetarian
Kothamali sadam	Coriander rice.	Vegetarian
Bisi Bele Bath	Rice preparation with vegetables.	Vegetarian
Kaara Kozhambu	Dish used with rice made of chilli powder and tamarind.	Vegetarian
Kos kootu	Cabbage and lentil dish used for rice.	Vegetarian
Poriyal	Side dish for rice prepared from one or more vegetables with little oil stirred  with daal half boiled and coconut / mustard seeds.	Vegetarian
Koottu	Vegetable daal or lentil mixture boiled in water.	Vegetarian
Varuval	Vegetables shallow fried in oil.	Vegetarian
Thayir sadam	Curd rice	Vegetarian
Biryani	Spicy rice dish with vegetables or chicken or mutton or fish or prawns.	Vegetarian
Sakkara pongal	Sweet rice dish.	Vegetarian
Indian omelette	Egg omelette or veg omelette.	Non+AC0-Vegetarian
Masala Dosa	Dosa with masala and potato.	Vegetarian
Paruppu sadam	Daal rice.	Vegetarian
Sevai	Kind of rice vermicilli used for breakfast.	Vegetarian
Sevai lunch	Kind of rice vermicilli mixed with either tamarind or lemon or coconut.	Vegetarian
Keerai sadam	Rice and green leaves.	Vegetarian
Double Ka Meetha	Bread crumbs fried in Ghee and dipped in Milk and Sugar syrup	Vegetarian
Keerai poriyal	Green leaves mixed with daal and coconut with little oil.	Vegetarian
Keerai masiyal	Grinded green leaves used as a side dish for rice or mixed with rice.	Vegetarian
Keerai kootu	Green leaves kootu.	Vegetarian
