Dosa ,Pancake/Hopper. Ground rice  Urad dal. ,Vegetarian ,50
Idli ,Steamed cake of fermented rice and pulse flour. Rice  Urad dal. ,Vegetarian ,50
Wheat Upma ,A Breakfast dish and Snack.Upma prepared from Wheat Dhalia Rava. ,Vegetarian ,50
Obbattu(holige Pooran+AC0-poli) ,A stuffed (Moong gram dal and jaggery or coconut poornam) paratha. Dish native to South and West India in the states of (Karnataka  Andhra Pradesh and Maharashtra.) ,Vegetarian ,50
Bonda ,Snack. Potatoes  gram flour. ,Vegetarian ,50
Bajji ,Vegetable Fritters. ,Vegetarian ,50
Pesarattu ,Dosa (Pancake or Crepe) of Andhra Pradesh made from Moong Dal (lentils)  grains and spice batter. ,Vegetarian ,50
Koshambri ,A Cucumber salad dish popular in Karnataka. Prepared during festivals. ,Vegetarian ,50
Vada ,Savory Donut. Urad dal. ,Vegetarian ,50
Goli bajje ,Snack. Gram flour. ,Vegetarian ,50
Puttu ,Ground Rice. ,Vegetarian ,50
Uttapam ,Rice Pancake/Hopper with a topping of onions/tomatoes/coconut. ,Vegetarian ,50
Kuzhakkattai ,Dumplings. Rice flour  jaggery  coconut. ,Vegetarian ,50
Payasam ,Rice Dessert. Rice  milk. ,Vegetarian ,50
Kanji ,Porridge. Rice. ,Vegetarian ,50
Kuzhambu ,Thick Soup with coconut. Coconut  vegetables. ,Vegetarian ,50
Appam ,Pancake ,Vegetarian ,50
Idiappam ,Steamed rice noodles/vermicelli. Ground rice. ,Vegetarian ,50
Chicken 65 ,Popular deep fried chicken preparation. Chicken  onion  ginger. ,Non+AC0-Vegetarian ,50
Pongal ,Pulao. Rice. ,Vegetarian ,50
Parotta ,Layered kerala parotta made with maida and dalda. ,Vegetarian ,50
Avial ,Cocunut paste  curd mixed with vegetables and some spices. ,Vegetarian ,50
Sambar ,Lentil soup with vegetables and masala mixed with rice and taken. ,Vegetarian ,50
Yelumincham sadam ,Lemon rice. Rice ,Vegetarian ,50
Thengai sadam ,Cocunut rice. ,Vegetarian ,50
Puli sadam ,Tamarind rice. ,Vegetarian ,50
Currivepillai sadam ,Curry leaves rice. ,Vegetarian ,50
Kothamali sadam ,Coriander rice. ,Vegetarian ,50
Bisi Bele Bath ,Rice preparation with vegetables. ,Vegetarian ,50
Kaara Kozhambu ,Dish used with rice made of chilli powder and tamarind. ,Vegetarian ,50
Kos kootu ,Cabbage and lentil dish used for rice. ,Vegetarian ,50
Poriyal ,Side dish for rice prepared from one or more vegetables with little oil stirred  with daal half boiled and coconut / mustard seeds. ,Vegetarian ,50
Koottu ,Vegetable daal or lentil mixture boiled in water. ,Vegetarian ,50
Varuval ,Vegetables shallow fried in oil. ,Vegetarian ,50
Thayir sadam ,Curd rice ,Vegetarian ,50
Biryani ,Spicy rice dish with vegetables or chicken or mutton or fish or prawns. ,Vegetarian ,50
Sakkara pongal ,Sweet rice dish. ,Vegetarian ,50
Indian omelette ,Egg omelette or veg omelette. ,Non+AC0-Vegetarian ,50
Masala Dosa ,Dosa with masala and potato. ,Vegetarian ,50
Paruppu sadam ,Daal rice. ,Vegetarian ,50
Sevai ,Kind of rice vermicilli used for breakfast. ,Vegetarian ,50
Sevai lunch ,Kind of rice vermicilli mixed with either tamarind or lemon or coconut. ,Vegetarian ,50
Keerai sadam ,Rice and green leaves. ,Vegetarian ,50
Double Ka Meetha ,Bread crumbs fried in Ghee and dipped in Milk and Sugar syrup ,Vegetarian ,50
Keerai poriyal ,Green leaves mixed with daal and coconut with little oil. ,Vegetarian ,50
Keerai masiyal ,Grinded green leaves used as a side dish for rice or mixed with rice. ,Vegetarian ,50
Keerai kootu ,Green leaves kootu. ,Vegetarian ,50
